cpu_usage.py is running!
Memory is higher than 10.0
['PID', 'name', 'memory']
1 :::: systemd ::: 12.6640625
2 :::: kthreadd ::: 0.0
3 :::: rcu_gp ::: 0.0
4 :::: rcu_par_gp ::: 0.0
6 :::: kworker/0:0H-events_highpri ::: 0.0
9 :::: mm_percpu_wq ::: 0.0
10 :::: rcu_tasks_rude_ ::: 0.0
11 :::: rcu_tasks_trace ::: 0.0
12 :::: ksoftirqd/0 ::: 0.0
13 :::: rcu_sched ::: 0.0
14 :::: migration/0 ::: 0.0
15 :::: idle_inject/0 ::: 0.0
16 :::: cpuhp/0 ::: 0.0
17 :::: cpuhp/1 ::: 0.0
18 :::: idle_inject/1 ::: 0.0
19 :::: migration/1 ::: 0.0
20 :::: ksoftirqd/1 ::: 0.0
22 :::: kworker/1:0H-events_highpri ::: 0.0
23 :::: cpuhp/2 ::: 0.0
24 :::: idle_inject/2 ::: 0.0
25 :::: migration/2 ::: 0.0
26 :::: ksoftirqd/2 ::: 0.0
28 :::: kworker/2:0H-events_highpri ::: 0.0
29 :::: cpuhp/3 ::: 0.0
30 :::: idle_inject/3 ::: 0.0
31 :::: migration/3 ::: 0.0
32 :::: ksoftirqd/3 ::: 0.0
34 :::: kworker/3:0H-events_highpri ::: 0.0
35 :::: kdevtmpfs ::: 0.0
36 :::: netns ::: 0.0
37 :::: inet_frag_wq ::: 0.0
38 :::: kauditd ::: 0.0
39 :::: khungtaskd ::: 0.0
40 :::: oom_reaper ::: 0.0
41 :::: writeback ::: 0.0
42 :::: kcompactd0 ::: 0.0
43 :::: ksmd ::: 0.0
44 :::: khugepaged ::: 0.0
91 :::: kintegrityd ::: 0.0
92 :::: kblockd ::: 0.0
93 :::: blkcg_punt_bio ::: 0.0
94 :::: tpm_dev_wq ::: 0.0
95 :::: ata_sff ::: 0.0
96 :::: md ::: 0.0
97 :::: edac-poller ::: 0.0
98 :::: devfreq_wq ::: 0.0
100 :::: watchdogd ::: 0.0
102 :::: kworker/2:1H-kblockd ::: 0.0
104 :::: kswapd0 ::: 0.0
105 :::: ecryptfs-kthrea ::: 0.0
107 :::: kthrotld ::: 0.0
108 :::: acpi_thermal_pm ::: 0.0
109 :::: scsi_eh_0 ::: 0.0
110 :::: scsi_tmf_0 ::: 0.0
111 :::: scsi_eh_1 ::: 0.0
112 :::: scsi_tmf_1 ::: 0.0
114 :::: vfio-irqfd-clea ::: 0.0
115 :::: ipv6_addrconf ::: 0.0
125 :::: kstrp ::: 0.0
128 :::: zswap-shrink ::: 0.0
129 :::: kworker/u9:0 ::: 0.0
135 :::: charger_manager ::: 0.0
159 :::: kworker/0:1H-kblockd ::: 0.0
186 :::: scsi_eh_2 ::: 0.0
187 :::: scsi_tmf_2 ::: 0.0
190 :::: kworker/3:1H-kblockd ::: 0.0
194 :::: kworker/1:1H-kblockd ::: 0.0
213 :::: jbd2/sda5-8 ::: 0.0
214 :::: ext4-rsv-conver ::: 0.0
253 :::: systemd-journald ::: 24.6953125
278 :::: loop0 ::: 0.0
285 :::: irq/18-vmwgfx ::: 0.0
286 :::: ttm_swap ::: 0.0
287 :::: card0-crtc0 ::: 0.0
288 :::: card0-crtc1 ::: 0.0
289 :::: card0-crtc2 ::: 0.0
290 :::: card0-crtc3 ::: 0.0
291 :::: card0-crtc4 ::: 0.0
292 :::: card0-crtc5 ::: 0.0
293 :::: card0-crtc6 ::: 0.0
294 :::: card0-crtc7 ::: 0.0
296 :::: loop1 ::: 0.0
299 :::: systemd-udevd ::: 7.33203125
303 :::: loop2 ::: 0.0
305 :::: loop3 ::: 0.0
308 :::: loop4 ::: 0.0
309 :::: loop5 ::: 0.0
310 :::: loop6 ::: 0.0
311 :::: loop7 ::: 0.0
339 :::: loop8 ::: 0.0
340 :::: loop9 ::: 0.0
341 :::: iprt-VBoxWQueue ::: 0.0
354 :::: loop10 ::: 0.0
363 :::: cryptd ::: 0.0
571 :::: systemd-resolved ::: 12.875
572 :::: systemd-timesyncd ::: 5.94140625
596 :::: accounts-daemon ::: 7.46875
597 :::: acpid ::: 0.75390625
600 :::: avahi-daemon ::: 3.40234375
601 :::: cron ::: 2.91015625
602 :::: cupsd ::: 8.2734375
603 :::: dbus-daemon ::: 5.9921875
605 :::: NetworkManager ::: 19.51953125
611 :::: irqbalance ::: 3.53515625
615 :::: networkd-dispat ::: 19.7578125
621 :::: polkitd ::: 10.64453125
623 :::: rsyslogd ::: 4.70703125
627 :::: snapd ::: 29.1875
628 :::: switcheroo-control ::: 6.328125
632 :::: systemd-logind ::: 8.046875
637 :::: udisksd ::: 12.5625
642 :::: wpa_supplicant ::: 4.69140625
648 :::: avahi-daemon ::: 0.3203125
719 :::: cups-browsed ::: 12.45703125
721 :::: dbus ::: 6.25
724 :::: ModemManager ::: 10.4296875
733 :::: unattended-upgr ::: 22.43359375
735 :::: VBoxService ::: 3.08203125
832 :::: whoopsie ::: 15.26171875
833 :::: kerneloops ::: 0.4375
840 :::: kerneloops ::: 0.4375
974 :::: gdm3 ::: 8.75
979 :::: gdm-session-worker ::: 9.890625
